space_sub_category,room_type,needs_review,note
1.1 - Tiered Classroom,classroom,no,
1.2 - Non-Tiered Classroom,classroom,no,
1.3 - Classroom Service Space,excluded,yes,AV and storage closets - confirm nobody occupies them
2.1 - Scheduled Class Lab Space,classroom,no,Supervisor ruling: class labs count as classroom
2.2 - Unscheduled Class Lab Space,classroom,no,Supervisor ruling: class labs count as classroom. Override per room if it is really a lab
2.3 - Lab (Instructional) Support,lab,no,
3.1 - Laboratory Space,lab,no,
3.2 - Lab Support Space (Fac/Grad),lab,no,
4.1 - Faculty Office,office,no,
4.2 - Other Academic Appointments Office,office,no,
4.3 - Graduate Student Office,office,no,
4.4 - Departmental Support Staff Office,office,no,
4.5 - Office Support Space,office,no,
5.1 - Library Collection Space,non-fixed,yes,Book stacks - area factor unclear
5.2 - Study Space,non-fixed,no,
5.3 - Library Support Area,office,yes,
6.1 - Athletic Activity Area,non-fixed,yes,Gym floor - may need a different factor
6.2 - Athletic Seating Area,non-fixed,yes,Fixed seating - should use seat count not area
6.3 - Athletic Service Space,excluded,yes,
7.1 - Food Facility,non-fixed,yes,Dining - confirm factor
7.2 - Food Facility Service,excluded,yes,Kitchen and back of house
8.1 - Bookstore / Merchandising,non-fixed,yes,Retail - confirm factor
9.1 - Plant Maintenance,excluded,yes,
10.1 - Office Area,office,no,
10.2 - Office Support Space,office,no,
11.1 - AV / TV Facility,office,yes,
12.1 - Computing Facility,office,yes,Machine room or staffed room
12.2 - Other Central Services,office,yes,
12.3 - Student Computer Room,classroom,no,
13.1 - Health Service Facility,excluded,yes,May be care occupancy - 18.4 mm/person per 3.4.3.2.(2). Out of scope until ruled
14.1 - Student Office & Support Space,office,no,
14.2 - Recreational Facility & Service,non-fixed,yes,
14.3 - Lounge & Service Space,non-fixed,no,
14.4 - General University Study Space,non-fixed,no,
15.1 - Assembly Facility,non-fixed,yes,Assembly - if fixed seats use seat count
15.2 - Exhibition Facility,non-fixed,yes,
16.1 - Central Utility Plant,excluded,no,
16.2 - Other Non-Assignable Area,excluded,no,
16.2.1 - Janitorial Staff,excluded,no,
16.2.2 - Mechanical & Electrical Space,excluded,no,
16.2.3 - Public Washroom,excluded,no,
16.2.4 - Circulation Space,excluded,no,Corridors stairs and landings - no occupant load
16.3 - Inactive Unassignable,excluded,no,
17.1 - Residence Living Space,excluded,yes,Residences use persons per sleeping room not area - out of scope
17.2 - Residence Service Space,excluded,yes,Residences - out of scope
18.1 - Specialized Central Area,office,yes,
19.1 - Day Care Facility,excluded,yes,Care occupancy - 18.4 mm/person per 3.4.3.2.(2). Out of scope until ruled
19.3 - Merchandising Facility - Non-University,non-fixed,yes,
19.4 - Demonstration School - Non-University,classroom,yes,
19.6 - Non-University Agency Occupying Univ Space,office,yes,
19.7 - Instructional Service to External Community,classroom,yes,
22.0 - Space Pending,excluded,yes,Not yet categorised
99.4 - Exterior Spaces,excluded,no,
